Season,Region,Taxa,LifeStage,n,maxWaterTemp,geometry
Winter,Central,Acipenser medirostris,Juvenile,15,16.11111111111111,list()
Winter,Central,Acipenser transmontanus,Juvenile,27,17.77777777777778,list()
Winter,Central,Catostomus occidentalis,Adult,4,15,list()
Winter,Central,Catostomus occidentalis,Juvenile,36,18,"c(-121.448692321777, -121.346252441406, -121.551277160645, 38.0018043518066, 37.955623626709, 37.8256721496582)"
Winter,Central,Cottus asper,Adult,1993,21,"c(-121.576782226562, -121.555892944336, -121.528800964355, -121.346252441406, -121.551277160645, 37.8767433166504, 37.9214859008789, 37.9217720031738, 37.955623626709, 37.8256721496582)"
Winter,Central,Cottus asper,Juvenile-Larvae,1344,18.299999237060547,"c(-121.582191467285, -121.576782226562, -121.555892944336, -121.563499450684, -121.528800964355, -121.448692321777, -121.519996643066, -121.346252441406, -121.367301940918, -121.551277160645, -121.568801879883, 38.0191955566406, 37.8767433166504, 37.9214859008789, 37.9425010681152, 37.9217720031738, 38.0018043518066, 37.9715003967285, 37.955623626709, 37.9659996032715, 37.8256721496582, 37.8593063354492)"
Winter,Central,Gasterosteus aculeatus,Adult,79,16.666666666666668,"c(-121.519996643066, 37.9715003967285)"
Winter,Central,Gasterosteus aculeatus,Juvenile-Larvae,37,15,"c(-121.528800964355, 37.9217720031738)"
Winter,Central,Hypomesus nipponensis,Adult,31,16.11111111111111,"c(-121.520210266113, -121.346252441406, 37.9784812927246, 37.955623626709)"
Winter,Central,Hypomesus transpacificus,Adult,2425,18.88888888888889,"c(-121.692832946777, -121.582664489746, -121.582550048828, -121.537048339844, -121.567886352539, -121.528800964355, -121.447395324707, -121.453025817871, -121.450370788574, -121.519996643066, -121.527702331543, -121.499168395996, -121.46704864502, -121.346252441406, -121.371719360352, -121.408752441406, -121.551277160645, -121.529800415039, -121.604629516602, 38.0265083312988, 38.0203895568848, 38.0205001831055, 37.9701194763184, 37.944278717041, 37.9217720031738, 37.9973945617676, 38.0050010681152, 
38.0022811889648, 37.9715003967285, 38.0035514831543, 38.04541015625, 38.0244216918945, 37.955623626709, 37.9688301086426, 37.9924697875977, 37.8256721496582, 38.0430793762207, 38.0269813537598)"
Winter,Central,Hypomesus transpacificus,Juvenile,30,15.555555555555555,list()
Winter,Central,Hypomesus transpacificus,Larvae,5,16.5,"c(-121.582191467285, -121.519996643066, 38.0191955566406, 37.9715003967285)"
Winter,Central,Hysterocarpus traskii,Adult,1,13.600000381469727,"c(-121.55908203125, 37.9490013122559)"
Winter,Central,Lavinia exilicauda,Adult,8,15,"c(-121.582550048828, -121.537048339844, -121.346252441406, -121.371719360352, 38.0205001831055, 37.9701194763184, 37.955623626709, 37.9688301086426)"
Winter,Central,Lavinia exilicauda,Juvenile-Larvae,8,15.555557250976563,"c(-121.55908203125, -121.528800964355, -121.346252441406, -121.581855773926, 37.9490013122559, 37.9217720031738, 37.955623626709, 38.0319786071777)"
Winter,Central,Menidia audens,Adult,4577,21,"c(-121.636657714844, -121.683639526367, -121.69091796875, -121.685699462891, -121.626556396484, -121.582664489746, -121.57829284668, -121.578620910645, -121.571548461914, -121.571739196777, -121.573722839355, -121.568962097168, -121.568687438965, -121.567481994629, -121.54541015625, -121.572341918945, -121.604263305664, -121.594230651855, -121.576782226562, -121.566848754883, -121.547340393066, -121.555892944336, -121.567886352539, -121.534408569336, -121.528800964355, -121.447395324707, -121.453025817871, 
-121.513542175293, -121.514053344727, -121.512786865234, -121.514930725098, -121.514488220215, -121.521240234375, -121.519996643066, -121.528350830078, -121.524963378906, -121.520530700684, -121.519073486328, -121.5166015625, -121.516311645508, -121.516326904297, -121.517013549805, -121.520866394043, -121.512260437012, -121.509483337402, -121.523712158203, -121.489242553711, -121.487991333008, -121.440979003906, -121.346252441406, -121.371719360352, -121.368553161621, -121.412162780762, -121.41332244873, 
-121.551277160645, -121.581855773926, -121.602890014648, -121.60498046875, -121.60375213623, -121.604568481445, -121.604637145996, -121.604629516602, -121.599517822266, -121.598846435547, -121.598487854004, -121.606269836426, -121.608459472656, 38.0117607116699, 38.0186614990234, 38.0245018005371, 38.0209999084473, 38.0033988952637, 38.0203895568848, 38.0107002258301, 38.0108985900879, 38.0115013122559, 38.01171875, 38.0118713378906, 38.0146408081055, 38.0146102905273, 38.0118713378906, 38.0091514587402, 
37.9974708557129, 37.9554710388184, 37.9697914123535, 37.8767433166504, 37.8940505981445, 37.9132118225098, 37.9214859008789, 37.944278717041, 37.9405784606934, 37.9217720031738, 37.9973945617676, 38.0050010681152, 37.9865188598633, 37.9865303039551, 37.9766502380371, 37.9762191772461, 37.9758415222168, 37.9753913879395, 37.9715003967285, 37.9685897827148, 37.982120513916, 37.9804801940918, 37.9799995422363, 37.9846115112305, 37.9846305847168, 37.9838714599609, 37.9831809997559, 38.001880645752, 
38.003719329834, 37.9911994934082, 38.0251007080078, 38.0385208129883, 38.036750793457, 37.9969291687012, 37.955623626709, 37.9688301086426, 37.9664154052734, 37.9987411499024, 37.9988098144531, 37.8256721496582, 38.0319786071777, 38.0319900512695, 38.0307006835938, 38.0275611877441, 38.0272102355957, 38.0271492004395, 38.0269813537598, 38.0285186767578, 38.0289611816406, 38.0291481018066, 38.026969909668, 38.0325698852539)"
