Region,Species,LifeStage,Season,maxWaterTemp
Confluence,Striped Bass,Juvenile,Winter,18.100000381469727
Confluence,Striped Bass,Larvae,Winter,18
Confluence,Steelhead/Rainbow Trout,Juvenile,Winter,17.200000762939453
Confluence,Chinook Salmon,Juvenile,Winter,19.600000381469727
Confluence,Chinook Salmon,Larvae,Winter,17.77777862548828
Confluence,Sacramento Blackfish,Juvenile-Larvae,Winter,16.111112594604492
Confluence,Sacramento Splittail,Adult,Winter,15.300000190734863
Confluence,Sacramento Splittail,Juvenile,Winter,17
Confluence,Sacramento Splittail,Larvae,Winter,13.600000381469727
Confluence,Sacramento Pikeminnow,Adult,Winter,15.699999809265137
Confluence,Sacramento Pikeminnow,Juvenile-Larvae,Winter,19.444446563720703
Confluence,Longfin Smelt,Adult,Winter,15
Confluence,Longfin Smelt,Juvenile,Winter,15.399999618530273
Confluence,Longfin Smelt,Larvae,Winter,18
North Delta,White Sturgeon,Larvae,Winter,10.600000381469727
North Delta,Sacramento Sucker,Adult,Winter,15.899999618530273
North Delta,Sacramento Sucker,Juvenile,Winter,19.399999618530273
North Delta,Prickly Sculpin,Adult,Winter,17.600000381469727
North Delta,Prickly Sculpin,Juvenile-Larvae,Winter,17.700000762939453
North Delta,Threespine Stickleback,Adult,Winter,12.5
North Delta,Threespine Stickleback,Juvenile-Larvae,Winter,14.199999809265137
North Delta,Wakasagi,Adult,Winter,15.000000953674316
North Delta,Wakasagi,Juvenile,Winter,15
North Delta,Wakasagi,Larvae,Winter,15.899999618530273
North Delta,Delta Smelt,Adult,Winter,19.5
North Delta,Delta Smelt,Juvenile,Winter,17.22222328186035
North Delta,Delta Smelt,Larvae,Winter,17.299999237060547
North Delta,Tule Perch,Adult,Winter,17.22222328186035
North Delta,Tule Perch,Juvenile-Larvae,Winter,17.77777862548828
North Delta,Hitch,Adult,Winter,14.5
North Delta,Hitch,Juvenile-Larvae,Winter,16.111112594604492
North Delta,Mississippi Silverside,Adult,Winter,19.600000381469727
North Delta,Mississippi Silverside,Juvenile,Winter,19.600000381469727
North Delta,Largemouth Bass,Adult,Winter,14.444445610046387
North Delta,Largemouth Bass,Juvenile,Winter,19.600000381469727
North Delta,Striped Bass,Adult,Winter,15.600000381469727
North Delta,Striped Bass,Juvenile,Winter,17.399999618530273
North Delta,Steelhead/Rainbow Trout,Adult,Winter,14
North Delta,Steelhead/Rainbow Trout,Juvenile,Winter,19.399999618530273
North Delta,Chinook Salmon,Juvenile,Winter,19.399999618530273
North Delta,Chinook Salmon,Larvae,Winter,19.399999618530273
North Delta,Sacramento Blackfish,Adult,Winter,14.611111640930176
North Delta,Sacramento Blackfish,Juvenile-Larvae,Winter,16.700000762939453
North Delta,Sacramento Splittail,Adult,Winter,18.399999618530273
North Delta,Sacramento Splittail,Juvenile,Winter,16.700000762939453
North Delta,Sacramento Splittail,Larvae,Winter,15.899999618530273
North Delta,Sacramento Pikeminnow,Adult,Winter,12.800000190734863
North Delta,Sacramento Pikeminnow,Juvenile-Larvae,Winter,19.600000381469727
North Delta,Longfin Smelt,Adult,Winter,15.199999809265137
North Delta,Longfin Smelt,Juvenile,Winter,13.199999809265137
North Delta,Longfin Smelt,Larvae,Winter,17.700000762939453
South,Green Sturgeon,Juvenile,Winter,16.11111111111111
South,White Sturgeon,Juvenile,Winter,17.77777777777778
South,Sacramento Sucker,Adult,Winter,16.5
South,Sacramento Sucker,Juvenile,Winter,19.200000762939453
South,Prickly Sculpin,Adult,Winter,19.88888888888889
South,Prickly Sculpin,Juvenile-Larvae,Winter,18
South,Threespine Stickleback,Adult,Winter,16.666666666666668
South,Threespine Stickleback,Juvenile-Larvae,Winter,15
South,Wakasagi,Adult,Winter,16.11111111111111
South,Delta Smelt,Adult,Winter,18.88888888888889
South,Delta Smelt,Juvenile,Winter,15.555555555555555
South,Tule Perch,Adult,Winter,15.300000190734863
South,Hitch,Adult,Winter,20.5
South,Hitch,Juvenile-Larvae,Winter,15
South,Mississippi Silverside,Adult,Winter,21
South,Mississippi Silverside,Juvenile,Winter,22
South,Largemouth Bass,Adult,Winter,19.200000762939453
South,Largemouth Bass,Juvenile,Winter,21
South,Striped Bass,Adult,Winter,18.000000000000004
South,Striped Bass,Juvenile,Winter,20
South,Steelhead/Rainbow Trout,Adult,Winter,17.88888888888889
