fWY,emmean,SE,df,asymp.LCL,asymp.UCL,.group,the.emmean,pri.fac,lcmpl,rcmpl
2011,15.966,0.804,Inf,14.39,17.542,A,15.966156682987503,2011,NA,16.058547048976273
2010,16.308,0.804,Inf,14.731,17.884,B,16.307653793121812,2010,16.199537041179283,16.41643890264896
2012,16.385,0.804,Inf,14.809,17.961,B,16.3852622048053,2012,16.29477727919548,16.475573258518203
2017,16.666,0.804,Inf,15.09,18.242,C,16.66629371846234,2017,16.575151226183632,16.75728042913398
2019,16.689,0.804,Inf,15.113,18.265,C,16.689137752656514,2019,16.595906696062194,16.782202978088634
2018,16.921,0.804,Inf,15.345,18.497,D,16.920839095580057,2018,16.8295582019478,17.011975426235065
2013,17.073,0.804,Inf,15.497,18.649,D,17.07344579168503,2013,16.982288890856783,17.164419113572492
2014,17.368,0.804,Inf,15.792,18.944,E,17.368039982583085,2014,17.277546831697176,17.458347301403084
2016,17.453,0.804,Inf,15.877,19.029,E,17.4533357152443,2016,17.362791937738173,17.543693819840517
2015,18.205,0.804,Inf,16.629,19.781,F,18.20477210692427,2015,18.113612483775146,NA
