fWY,emmean,SE,df,asymp.LCL,asymp.UCL,.group,the.emmean,pri.fac,lcmpl,rcmpl
2011,16.471,0.82,Inf,14.864,18.077,A,16.47051503040984,2011,NA,16.562882496522665
2010,16.811,0.82,Inf,15.204,18.417,B,16.810500165511712,2010,16.702429147240206,16.9192035697712
2012,16.925,0.819,Inf,15.319,18.531,B,16.925116458342625,2012,16.834643497636787,17.01541652958695
2019,17.183,0.82,Inf,15.577,18.789,C,17.182843532163904,2019,17.089630947178055,17.275885635070725
2017,17.194,0.82,Inf,15.588,18.8,C,17.194120018534313,2017,17.102999785098262,17.285091062229444
2018,17.427,0.82,Inf,15.821,19.033,D,17.426803001588976,2018,17.335543166837734,17.51792348100841
2013,17.602,0.82,Inf,15.996,19.208,D,17.60187205399115,2013,17.510738059563188,17.692830190499652
2014,17.898,0.819,Inf,16.292,19.505,E,17.89833868056486,2014,17.807865530601415,17.98863400078855
2016,17.985,0.819,Inf,16.378,19.591,E,17.9846256746762,2016,17.894102016438396,18.07497180521551
2015,18.723,0.82,Inf,17.117,20.33,F,18.723317264452092,2015,18.63218122703452,NA
