fWY,emmean,SE,df,asymp.LCL,asymp.UCL,.group,the.emmean,pri.fac,lcmpl,rcmpl
2011,17.055480830905587,0.8386658233736721,Inf,15.41172602202856,18.699235639782614,A,17.055480830905587,2011,NA,17.15175964604035
2010,17.393600764843598,0.8389663756847716,Inf,15.749256884261346,19.03794464542585,B,17.393600764843598,2010,17.28073112544465,17.507015569673687
2012,17.54203349882367,0.8386277184253922,Inf,15.898353374272904,19.185713623374436,B,17.54203349882367,2012,17.44775527609557,17.636140681697366
2019,17.748462752295552,0.8386749329584229,Inf,16.1046900889605,19.392235415630605,C,17.748462752295552,2019,17.65131317641135,17.845450649158412
2017,17.787032832529682,0.8386384964376912,Inf,16.143331583462984,19.43073408159638,C,17.787032832529682,2017,17.692077630081585,17.88184614572514
2018,18.007571445534623,0.8386412333090338,Inf,16.363864832298663,19.651278058770583,D,18.007571445534623,2018,17.912476540056506,18.10253952557949
2013,18.22320934899892,0.8386384621834558,Inf,16.579508167069292,19.86691053092855,E,18.22320934899892,2013,18.12824110782136,18.318006660441746
2014,18.502922387712555,0.8386277184253922,Inf,16.85924226316179,20.14660251226332,F,18.502922387712555,2014,18.408649073747597,18.597023066060526
2016,18.597602399630098,0.8386286007306869,Inf,16.95392054579273,20.241284253467466,F,18.597602399630098,2016,18.5032763623487,18.69175607206136
2015,19.33436598412744,0.8386384621834558,Inf,17.690664802197812,20.97806716605707,G,19.33436598412744,2015,19.239395862867656,NA
