"","contrast","estimate","SE","df","t.ratio","p.value","sig"
"28","fWY2014 - fWY2018",0.500238907060845,0.0510578604113539,8509.52562899942,9.79749059264547,6.8327549192183e-21,"yes"
"29","fWY2011 - fWY2012",-0.486556998772277,0.051395238588069,8511.95464164379,-9.4669664377281,1.64719102375314e-19,"yes"
"30","fWY2012 - fWY2018",-0.465530797867283,0.0510435674580018,8509.51587787759,-9.12026374822484,4.14708607665e-18,"yes"
"31","fWY2013 - fWY2019",0.469514494673753,0.0518122087867796,8514.81241471083,9.06185058826433,7.05987529565005e-18,"yes"
"32","fWY2013 - fWY2017",0.430952805823733,0.0512172035074511,8510.82150483228,8.41421976037871,2.06899629639311e-15,"yes"
"33","fWY2013 - fWY2016",-0.379648570137893,0.0510409414535234,8509.20298642127,-7.43811848540434,5.04251437608956e-12,"yes"
"34","fWY2010 - fWY2017",-0.393911989462165,0.0561655152379581,8530.49826706921,-7.01341361853918,1.12637975819463e-10,"yes"
"35","fWY2010 - fWY2019",-0.355350300612144,0.0567492441247771,8535.27042059117,-6.26176270878287,1.79564227474146e-08,"yes"
"36","fWY2010 - fWY2011",0.337640726046356,0.0564474661026693,8530.41830607372,5.98150367692749,1.03495555550073e-07,"yes"
"37","fWY2013 - fWY2014",-0.289821182368152,0.0510411575130642,8509.21823274728,-5.6781859285611,6.32717970563843e-07,"yes"
"38","fWY2018 - fWY2019",0.25909676998106,0.0517823596507702,8511.56972132136,5.00357209923334,2.58318745439658e-05,"yes"
"39","fWY2012 - fWY2017",-0.244995716736244,0.0509996323286973,8509.48270675362,-4.80387221533725,7.12289451641057e-05,"yes"
"40","fWY2017 - fWY2018",-0.220535081131039,0.0512339102463606,8511.13093973806,-4.30447490871936,0.000761655186665057,"yes"
"41","fWY2013 - fWY2018",0.210417724692694,0.0512611091698743,8510.85144530374,4.1048219225103,0.00183782756589041,"yes"
"42","fWY2012 - fWY2019",-0.206434027886224,0.0515951380867412,8513.53150110544,-4.00103644531717,0.00286199546166032,"yes"
"43","fWY2010 - fWY2012",-0.148916272725921,0.056026893971247,8531.87223893417,-2.65794268021255,0.354446291141722,"no"
"44","fWY2014 - fWY2016",-0.0898273877697418,0.050837561569706,8508.01790569087,-1.76694918080551,1,"no"
"45","fWY2017 - fWY2019",0.0385616888500207,0.0517852457381509,8515.07468843055,0.744646246249475,1,"no"
