StressAllDay,Region,Station,WY,fWY,nDays,totalDays,propDays
N,Central,BAC,2010,2010,358,358,1
Y,Central,BAC,2010,2010,0,358,0
N,Central,BAC,2011,2011,361,362,0.997
Y,Central,BAC,2011,2011,1,362,0.003
N,Central,BAC,2012,2012,339,339,1
Y,Central,BAC,2012,2012,0,339,0
N,Central,BAC,2013,2013,357,363,0.983
Y,Central,BAC,2013,2013,6,363,0.017
N,Central,BAC,2014,2014,363,365,0.995
Y,Central,BAC,2014,2014,2,365,0.005
N,Central,BAC,2015,2015,363,363,1
Y,Central,BAC,2015,2015,0,363,0
N,Central,BAC,2016,2016,364,364,1
Y,Central,BAC,2016,2016,0,364,0
N,Central,BAC,2017,2017,353,357,0.989
Y,Central,BAC,2017,2017,4,357,0.011
N,Central,BAC,2018,2018,365,365,1
Y,Central,BAC,2018,2018,0,365,0
N,Central,BAC,2019,2019,358,363,0.986
Y,Central,BAC,2019,2019,5,363,0.014
N,Central,BET,2010,2010,364,364,1
Y,Central,BET,2010,2010,0,364,0
N,Central,BET,2011,2011,363,363,1
Y,Central,BET,2011,2011,0,363,0
N,Central,BET,2012,2012,362,362,1
Y,Central,BET,2012,2012,0,362,0
N,Central,BET,2013,2013,360,360,1
Y,Central,BET,2013,2013,0,360,0
N,Central,BET,2014,2014,365,365,1
Y,Central,BET,2014,2014,0,365,0
N,Central,BET,2015,2015,363,363,1
Y,Central,BET,2015,2015,0,363,0
N,Central,BET,2016,2016,357,357,1
Y,Central,BET,2016,2016,0,357,0
N,Central,BET,2017,2017,357,357,1
Y,Central,BET,2017,2017,0,357,0
N,Central,BET,2018,2018,365,365,1
Y,Central,BET,2018,2018,0,365,0
N,Central,BET,2019,2019,338,338,1
Y,Central,BET,2019,2019,0,338,0
N,Central,CLC,2010,2010,357,358,0.997
Y,Central,CLC,2010,2010,1,358,0.003
N,Central,CLC,2011,2011,363,363,1
Y,Central,CLC,2011,2011,0,363,0
N,Central,CLC,2012,2012,364,364,1
Y,Central,CLC,2012,2012,0,364,0
N,Central,CLC,2013,2013,346,360,0.961
Y,Central,CLC,2013,2013,14,360,0.039
N,Central,CLC,2014,2014,315,364,0.865
Y,Central,CLC,2014,2014,49,364,0.135
N,Central,CLC,2015,2015,329,361,0.911
Y,Central,CLC,2015,2015,32,361,0.089
N,Central,CLC,2016,2016,356,364,0.978
Y,Central,CLC,2016,2016,8,364,0.022
N,Central,CLC,2017,2017,362,364,0.995
Y,Central,CLC,2017,2017,2,364,0.005
N,Central,CLC,2018,2018,342,361,0.947
Y,Central,CLC,2018,2018,19,361,0.053
N,Central,CLC,2019,2019,316,342,0.924
Y,Central,CLC,2019,2019,26,342,0.076
N,Central,DSJ,2011,2011,363,363,1
Y,Central,DSJ,2011,2011,0,363,0
N,Central,DSJ,2012,2012,355,355,1
Y,Central,DSJ,2012,2012,0,355,0
N,Central,DSJ,2013,2013,343,349,0.983
Y,Central,DSJ,2013,2013,6,349,0.017
N,Central,DSJ,2014,2014,365,365,1
Y,Central,DSJ,2014,2014,0,365,0
N,Central,DSJ,2015,2015,359,359,1
Y,Central,DSJ,2015,2015,0,359,0
N,Central,DSJ,2016,2016,365,365,1
Y,Central,DSJ,2016,2016,0,365,0
N,Central,DSJ,2017,2017,357,357,1
Y,Central,DSJ,2017,2017,0,357,0
N,Central,DSJ,2018,2018,363,363,1
Y,Central,DSJ,2018,2018,0,363,0
N,Central,DSJ,2019,2019,361,363,0.994
Y,Central,DSJ,2019,2019,2,363,0.006
N,Central,FRP,2010,2010,363,363,1
Y,Central,FRP,2010,2010,0,363,0
N,Central,FRP,2011,2011,363,363,1
Y,Central,FRP,2011,2011,0,363,0
N,Central,FRP,2012,2012,355,355,1
Y,Central,FRP,2012,2012,0,355,0
N,Central,FRP,2013,2013,350,357,0.98
Y,Central,FRP,2013,2013,7,357,0.02
N,Central,FRP,2014,2014,365,365,1
Y,Central,FRP,2014,2014,0,365,0
N,Central,FRP,2015,2015,355,355,1
Y,Central,FRP,2015,2015,0,355,0
N,Central,FRP,2016,2016,364,364,1
Y,Central,FRP,2016,2016,0,364,0
N,Central,FRP,2017,2017,361,365,0.989
Y,Central,FRP,2017,2017,4,365,0.011
N,Central,FRP,2018,2018,364,364,1
Y,Central,FRP,2018,2018,0,364,0
N,Central,FRP,2019,2019,354,357,0.992
Y,Central,FRP,2019,2019,3,357,0.008
N,Central,HLL,2010,2010,365,365,1
Y,Central,HLL,2010,2010,0,365,0
N,Central,HLL,2011,2011,363,363,1
Y,Central,HLL,2011,2011,0,363,0
N,Central,HLL,2012,2012,363,363,1
Y,Central,HLL,2012,2012,0,363,0
N,Central,HLL,2013,2013,355,361,0.983
Y,Central,HLL,2013,2013,6,361,0.017
N,Central,HLL,2014,2014,362,362,1
Y,Central,HLL,2014,2014,0,362,0
N,Central,HLL,2015,2015,361,363,0.994
Y,Central,HLL,2015,2015,2,363,0.006
N,Central,HLL,2016,2016,356,356,1
Y,Central,HLL,2016,2016,0,356,0
N,Central,HLL,2017,2017,355,363,0.978
Y,Central,HLL,2017,2017,8,363,0.022
N,Central,HLL,2018,2018,344,344,1
Y,Central,HLL,2018,2018,0,344,0
N,Central,HLL,2019,2019,353,362,0.975
Y,Central,HLL,2019,2019,9,362,0.025
N,Central,HLT,2010,2010,355,355,1
Y,Central,HLT,2010,2010,0,355,0
N,Central,HLT,2011,2011,355,355,1
Y,Central,HLT,2011,2011,0,355,0
N,Central,HLT,2012,2012,360,360,1
Y,Central,HLT,2012,2012,0,360,0
N,Central,HLT,2013,2013,357,360,0.992
Y,Central,HLT,2013,2013,3,360,0.008
N,Central,HLT,2014,2014,365,365,1
Y,Central,HLT,2014,2014,0,365,0
N,Central,HLT,2015,2015,355,355,1
Y,Central,HLT,2015,2015,0,355,0
N,Central,HLT,2016,2016,364,364,1
Y,Central,HLT,2016,2016,0,364,0
N,Central,HLT,2017,2017,360,360,1
Y,Central,HLT,2017,2017,0,360,0
N,Central,HLT,2018,2018,345,345,1
Y,Central,HLT,2018,2018,0,345,0
N,Central,HLT,2019,2019,333,337,0.988
Y,Central,HLT,2019,2019,4,337,0.012
N,Central,HOL,2010,2010,365,365,1
Y,Central,HOL,2010,2010,0,365,0
N,Central,HOL,2011,2011,358,358,1
Y,Central,HOL,2011,2011,0,358,0
N,Central,HOL,2012,2012,360,360,1
Y,Central,HOL,2012,2012,0,360,0
N,Central,HOL,2013,2013,354,360,0.983
Y,Central,HOL,2013,2013,6,360,0.017
N,Central,HOL,2014,2014,365,365,1
Y,Central,HOL,2014,2014,0,365,0
N,Central,HOL,2015,2015,355,357,0.994
Y,Central,HOL,2015,2015,2,357,0.006
N,Central,HOL,2016,2016,362,362,1
Y,Central,HOL,2016,2016,0,362,0
N,Central,HOL,2017,2017,353,361,0.978
Y,Central,HOL,2017,2017,8,361,0.022
N,Central,HOL,2018,2018,350,350,1
Y,Central,HOL,2018,2018,0,350,0
N,Central,HOL,2019,2019,346,354,0.977
Y,Central,HOL,2019,2019,8,354,0.023
N,Central,MDM,2011,2011,358,358,1
Y,Central,MDM,2011,2011,0,358,0
N,Central,MDM,2012,2012,357,357,1
Y,Central,MDM,2012,2012,0,357,0
N,Central,MDM,2013,2013,350,358,0.978
Y,Central,MDM,2013,2013,8,358,0.022
N,Central,MDM,2014,2014,357,364,0.981
Y,Central,MDM,2014,2014,7,364,0.019
N,Central,MDM,2015,2015,330,346,0.954
Y,Central,MDM,2015,2015,16,346,0.046
N,Central,MDM,2016,2016,360,364,0.989
Y,Central,MDM,2016,2016,4,364,0.011
N,Central,MDM,2017,2017,360,364,0.989
Y,Central,MDM,2017,2017,4,364,0.011
N,Central,MDM,2018,2018,333,333,1
Y,Central,MDM,2018,2018,0,333,0
N,Central,MDM,2019,2019,334,355,0.941
Y,Central,MDM,2019,2019,21,355,0.059
N,Central,MTB,2010,2010,363,363,1
Y,Central,MTB,2010,2010,0,363,0
N,Central,MTB,2011,2011,361,361,1
Y,Central,MTB,2011,2011,0,361,0
N,Central,MTB,2012,2012,362,362,1
Y,Central,MTB,2012,2012,0,362,0
N,Central,MTB,2013,2013,346,353,0.98
Y,Central,MTB,2013,2013,7,353,0.02
N,Central,MTB,2014,2014,350,360,0.972
Y,Central,MTB,2014,2014,10,360,0.028
N,Central,MTB,2015,2015,346,363,0.953
Y,Central,MTB,2015,2015,17,363,0.047
N,Central,MTB,2016,2016,357,364,0.981
Y,Central,MTB,2016,2016,7,364,0.019
N,Central,MTB,2017,2017,352,360,0.978
Y,Central,MTB,2017,2017,8,360,0.022
N,Central,MTB,2018,2018,364,365,0.997
Y,Central,MTB,2018,2018,1,365,0.003
N,Central,MTB,2019,2019,342,346,0.988
Y,Central,MTB,2019,2019,4,346,0.012
N,Central,MUP,2011,2011,361,361,1
Y,Central,MUP,2011,2011,0,361,0
N,Central,MUP,2012,2012,362,362,1
Y,Central,MUP,2012,2012,0,362,0
N,Central,MUP,2013,2013,349,360,0.969
Y,Central,MUP,2013,2013,11,360,0.031
N,Central,MUP,2014,2014,340,362,0.939
Y,Central,MUP,2014,2014,22,362,0.061
N,Central,MUP,2015,2015,329,358,0.919
Y,Central,MUP,2015,2015,29,358,0.081
N,Central,MUP,2016,2016,354,359,0.986
Y,Central,MUP,2016,2016,5,359,0.014
N,Central,MUP,2017,2017,347,357,0.972
Y,Central,MUP,2017,2017,10,357,0.028
N,Central,MUP,2018,2018,306,315,0.971
Y,Central,MUP,2018,2018,9,315,0.029
N,Central,OBI,2010,2010,362,362,1
Y,Central,OBI,2010,2010,0,362,0
N,Central,OBI,2011,2011,355,356,0.997
Y,Central,OBI,2011,2011,1,356,0.003
N,Central,OBI,2012,2012,361,361,1
Y,Central,OBI,2012,2012,0,361,0
N,Central,OBI,2013,2013,343,350,0.98
Y,Central,OBI,2013,2013,7,350,0.02
N,Central,OBI,2014,2014,356,358,0.994
Y,Central,OBI,2014,2014,2,358,0.006
N,Central,OBI,2015,2015,343,346,0.991
Y,Central,OBI,2015,2015,3,346,0.009
N,Central,OBI,2016,2016,362,362,1
Y,Central,OBI,2016,2016,0,362,0
N,Central,OBI,2017,2017,342,349,0.98
Y,Central,OBI,2017,2017,7,349,0.02
N,Central,OBI,2018,2018,352,352,1
Y,Central,OBI,2018,2018,0,352,0
N,Central,OBI,2019,2019,322,337,0.955
Y,Central,OBI,2019,2019,15,337,0.045
N,Central,OH4,2011,2011,357,360,0.992
Y,Central,OH4,2011,2011,3,360,0.008
N,Central,OH4,2012,2012,364,364,1
Y,Central,OH4,2012,2012,0,364,0
N,Central,OH4,2013,2013,344,353,0.975
Y,Central,OH4,2013,2013,9,353,0.025
N,Central,OH4,2014,2014,335,361,0.928
Y,Central,OH4,2014,2014,26,361,0.072
N,Central,OH4,2015,2015,308,355,0.868
Y,Central,OH4,2015,2015,47,355,0.132
N,Central,OH4,2016,2016,354,363,0.975
Y,Central,OH4,2016,2016,9,363,0.025
N,Central,OH4,2017,2017,339,363,0.934
Y,Central,OH4,2017,2017,24,363,0.066
N,Central,OH4,2018,2018,354,357,0.992
Y,Central,OH4,2018,2018,3,357,0.008
N,Central,OH4,2019,2019,320,344,0.93
Y,Central,OH4,2019,2019,24,344,0.07
N,Central,ORI,2012,2012,362,362,1
Y,Central,ORI,2012,2012,0,362,0
N,Central,ORI,2013,2013,347,360,0.964
Y,Central,ORI,2013,2013,13,360,0.036
N,Central,ORI,2014,2014,318,358,0.888
Y,Central,ORI,2014,2014,40,358,0.112
N,Central,ORI,2015,2015,317,352,0.901
Y,Central,ORI,2015,2015,35,352,0.099
N,Central,ORI,2016,2016,346,361,0.958
Y,Central,ORI,2016,2016,15,361,0.042
N,Central,ORI,2017,2017,347,347,1
Y,Central,ORI,2017,2017,0,347,0
N,Central,ORI,2018,2018,344,356,0.966
Y,Central,ORI,2018,2018,12,356,0.034
N,Central,ORI,2019,2019,326,343,0.95
Y,Central,ORI,2019,2019,17,343,0.05
N,Central,ORQ,2010,2010,360,360,1
Y,Central,ORQ,2010,2010,0,360,0
N,Central,ORQ,2011,2011,362,362,1
Y,Central,ORQ,2011,2011,0,362,0
N,Central,ORQ,2012,2012,357,357,1
Y,Central,ORQ,2012,2012,0,357,0
N,Central,ORQ,2013,2013,355,360,0.986
Y,Central,ORQ,2013,2013,5,360,0.014
N,Central,ORQ,2014,2014,361,361,1
Y,Central,ORQ,2014,2014,0,361,0
N,Central,ORQ,2015,2015,357,357,1
Y,Central,ORQ,2015,2015,0,357,0
N,Central,ORQ,2016,2016,360,360,1
Y,Central,ORQ,2016,2016,0,360,0
N,Central,ORQ,2017,2017,362,363,0.997
Y,Central,ORQ,2017,2017,1,363,0.003
N,Central,ORQ,2018,2018,356,356,1
Y,Central,ORQ,2018,2018,0,356,0
N,Central,ORQ,2019,2019,348,350,0.994
Y,Central,ORQ,2019,2019,2,350,0.006
N,Central,RRI,2010,2010,327,360,0.908
Y,Central,RRI,2010,2010,33,360,0.092
N,Central,RRI,2011,2011,362,362,1
Y,Central,RRI,2011,2011,0,362,0
N,Central,RRI,2012,2012,322,365,0.882
Y,Central,RRI,2012,2012,43,365,0.118
N,Central,RRI,2013,2013,307,360,0.853
Y,Central,RRI,2013,2013,53,360,0.147
N,Central,RRI,2014,2014,298,365,0.816
Y,Central,RRI,2014,2014,67,365,0.184
N,Central,RRI,2015,2015,285,361,0.789
Y,Central,RRI,2015,2015,76,361,0.211
N,Central,RRI,2016,2016,304,360,0.844
Y,Central,RRI,2016,2016,56,360,0.156
N,Central,RRI,2017,2017,360,360,1
Y,Central,RRI,2017,2017,0,360,0
N,Central,RRI,2018,2018,305,360,0.847
Y,Central,RRI,2018,2018,55,360,0.153
N,Central,RRI,2019,2019,353,360,0.981
Y,Central,RRI,2019,2019,7,360,0.019
N,Central,TRN,2010,2010,330,330,1
Y,Central,TRN,2010,2010,0,330,0
N,Central,TRN,2011,2011,363,363,1
Y,Central,TRN,2011,2011,0,363,0
N,Central,TRN,2012,2012,358,358,1
Y,Central,TRN,2012,2012,0,358,0
N,Central,TRN,2013,2013,351,362,0.97
Y,Central,TRN,2013,2013,11,362,0.03
N,Central,TRN,2014,2014,354,365,0.97
Y,Central,TRN,2014,2014,11,365,0.03
N,Central,TRN,2015,2015,338,360,0.939
Y,Central,TRN,2015,2015,22,360,0.061
N,Central,TRN,2016,2016,338,343,0.985
Y,Central,TRN,2016,2016,5,343,0.015
N,Central,TRN,2017,2017,348,348,1
Y,Central,TRN,2017,2017,0,348,0
N,Central,TRN,2018,2018,339,339,1
Y,Central,TRN,2018,2018,0,339,0
N,Central,TRN,2019,2019,301,316,0.953
Y,Central,TRN,2019,2019,15,316,0.047
N,Central,VCU,2010,2010,360,360,1
Y,Central,VCU,2010,2010,0,360,0
N,Central,VCU,2011,2011,347,347,1
Y,Central,VCU,2011,2011,0,347,0
N,Central,VCU,2012,2012,364,364,1
Y,Central,VCU,2012,2012,0,364,0
N,Central,VCU,2013,2013,347,359,0.967
Y,Central,VCU,2013,2013,12,359,0.033
N,Central,VCU,2014,2014,331,357,0.927
Y,Central,VCU,2014,2014,26,357,0.073
N,Central,VCU,2015,2015,335,360,0.931
Y,Central,VCU,2015,2015,25,360,0.069
N,Central,VCU,2016,2016,345,355,0.972
Y,Central,VCU,2016,2016,10,355,0.028
N,Central,VCU,2017,2017,339,354,0.958
Y,Central,VCU,2017,2017,15,354,0.042
N,Central,VCU,2018,2018,325,342,0.95
Y,Central,VCU,2018,2018,17,342,0.05
N,Central,VCU,2019,2019,334,355,0.941
Y,Central,VCU,2019,2019,21,355,0.059
N,Central,VIC,2010,2010,360,360,1
Y,Central,VIC,2010,2010,0,360,0
N,Central,VIC,2011,2011,363,363,1
Y,Central,VIC,2011,2011,0,363,0
N,Central,VIC,2012,2012,361,361,1
Y,Central,VIC,2012,2012,0,361,0
N,Central,VIC,2013,2013,346,359,0.964
Y,Central,VIC,2013,2013,13,359,0.036
N,Central,VIC,2014,2014,339,365,0.929
