contrast,estimate,SE,df,z.ratio,p.value,Sig
NorthDelta - SacRiver,-0.5297313938174287,0.4082762463119229,Inf,-1.2974827671280051,0.786602982732986,no
NorthDelta - SuisunBay,-0.48781295092616395,0.4183966299813022,Inf,-1.165910325204971,0.8531106131828906,no
NorthDelta - SuisunMarsh,-1.2799519724595507,0.5403814154868953,Inf,-2.3686084231936184,0.16733388140434213,no
SacRiver - SuisunBay,0.041918442891264784,0.2237493589286388,Inf,0.1873455329301479,0.9999683072714433,no
SacRiver - SuisunMarsh,-0.750220578642122,0.408681071703987,Inf,-1.8357115868226863,0.4425922322217908,no
SanJoaquin - South,0.34876196199176857,0.2563671618858042,Inf,1.3604002924021936,0.750780258694136,no
SanJoaquin - SuisunMarsh,0.2935227166914358,0.41877233487461063,Inf,0.7009123866296535,0.9818862969683199,no
South - SuisunMarsh,-0.05523924530033275,0.4274363196475255,Inf,-0.12923385955101896,0.9999949990186977,no
SuisunBay - SuisunMarsh,-0.7921390215333868,0.418792526664806,Inf,-1.8914831834317822,0.40732553836714436,no
NorthDelta - SanJoaquin,-1.5734746891509865,0.4183768895587062,Inf,-3.760902498249006,0.002337986839893502,yes
NorthDelta - South,-1.224712727159218,0.42704818133465094,Inf,-2.8678560890521325,0.04749613290957522,yes
SacRiver - SanJoaquin,-1.0437432953335577,0.22371217848595626,Inf,-4.665563146349137,4.524687247620118e-5,yes
SacRiver - South,-0.6949813333417892,0.23953757617989693,Inf,-2.9013457697336222,0.04315433265288793,yes
SanJoaquin - SuisunBay,1.0856617382248226,0.241682002945334,Inf,4.492108328274605,1.0297626681465832e-4,yes
South - SuisunBay,0.736899776233054,0.2563992775258012,Inf,2.87403218661137,0.04666869674917973,yes
fWY2000 - fWY2001,0.08314029938658353,0.1100591981343794,Inf,0.7554143660493637,0.9999998453789822,no
fWY2000 - fWY2002,0.05964385853458332,0.10893039282267239,Inf,0.547541021280236,0.9999999994593727,no
fWY2000 - fWY2003,0.08610079393148255,0.10781142663951511,Inf,0.7986240106011624,0.9999996024463342,no
