contrast,estimate,SE,df,z.ratio,p.value,Sig
NorthDelta - SacRiver,-0.3263474342709988,0.47040245637295514,Inf,-0.6937621814037822,0.9826991853907705,no
NorthDelta - SanJoaquin,-1.160180844588387,0.4820324193646723,Inf,-2.406852315281049,0.15371351260758082,no
NorthDelta - South,-0.3458595024383979,0.4920046313987344,Inf,-0.7029598511199859,0.9816485085910054,no
NorthDelta - SuisunBay,-0.004716589185207668,0.4820469428545963,Inf,-0.009784501810709275,0.9999999999874534,no
NorthDelta - SuisunMarsh,0.08524886098702113,0.6224908660920572,Inf,0.13694797085490742,0.9999933249141877,no
SacRiver - South,-0.019512068167399088,0.2759184749199703,Inf,-0.0707167875331963,0.9999997530510469,no
SacRiver - SuisunBay,0.32163084508579115,0.25774337456657553,Inf,1.2478724065231535,0.813107816040135,no
SacRiver - SuisunMarsh,0.41159629525801994,0.47069880107646905,Inf,0.8744366765258715,0.9526579524252741,no
SanJoaquin - South,0.8143213421499891,0.2953041236116719,Inf,2.7575684761545367,0.06448608626525343,no
SanJoaquin - SuisunMarsh,1.2454297055754082,0.4823218996461936,Inf,2.5821545869863902,0.1015925707559241,no
South - SuisunBay,0.34114291325319024,0.29532775007087153,Inf,1.1551332821630347,0.8579966884373433,no
South - SuisunMarsh,0.43110836342541903,0.49228877350755595,Inf,0.8757225161845015,0.952365277278757,no
SuisunBay - SuisunMarsh,0.08996545017222879,0.48233676037912065,Inf,0.18651999507878106,0.9999689941113648,no
SacRiver - SanJoaquin,-0.8338334103173881,0.25771601556632445,Inf,-3.235473777153741,0.015388187470648629,yes
SanJoaquin - SuisunBay,1.1554642554031793,0.27839832517572766,Inf,4.150399448968809,4.752895793700418e-4,yes
fWY2000 - fWY2001,0.20194356907565258,0.10106825411106657,Inf,1.998091001490255,0.9039727244985443,no
fWY2000 - fWY2002,0.07287152342867455,0.10003274482719995,Inf,0.728476695851497,0.9999999170470961,no
fWY2000 - fWY2003,-0.03833935624681707,0.09900643945420007,Inf,-0.38724103662522563,0.9999999999990812,no
fWY2000 - fWY2004,-0.1809260532970932,0.09907946564121764,Inf,-1.8260701359881668,0.9573486520633175,no
