Species,Lstatus,Tolerance_Upper
Chinook Salmon,Listed,26
Delta Smelt,Listed,28.5
Hitch,Unlisted,38
Largemouth Bass,Unlisted,35
Longfin Smelt,Listed,25.6
Mississippi Silverside,Unlisted,31
Sacramento Blackfish,Unlisted,32
Sacramento Pikeminnow,Unlisted,38
Sacramento Splittail,Unlisted,29
Sacramento Sucker,Unlisted,30
Steelhead/Rainbow Trout,Listed,25.5
Striped Bass,Unlisted,28
Threespine Stickleback,Unlisted,29
Tule Perch,Unlisted,34
